category,type,difficulty,question,correct_answer,incorrect_answers
General Knowledge,boolean,hard,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",True,"[""False""]"
Entertainment: Television,multiple,medium,Who was the star of the TV series &quot;24&quot;?,Kiefer Sutherland,"[""Kevin Bacon"", ""Hugh Laurie"", ""Rob Lowe""]"
Entertainment: Video Games,boolean,medium,David Baszucki was a co-founder of ROBLOX Corporation.,True,"[""False""]"
Science &amp; Nature,multiple,medium,About how old is Earth?,4.5 Billion Years,"[""3.5 Billion Years"", ""2.5 Billion Years"", ""5.5 Billion Years""]"
Sports,multiple,medium,What year was hockey legend Wayne Gretzky born?,1961,"[""1965"", ""1959"", ""1963""]"
Mythology,multiple,easy,"In Greek mythology, who is the god of wine?",Dionysus,"[""Hephaestus"", ""Demeter"", ""Apollo""]"
Entertainment: Television,boolean,easy,"In &quot;Star Trek&quot;, Klingons are aliens.",True,"[""False""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,"In the anime, &quot;Super Sonico&quot;, what is Super Sonico&#039;s favorite food?",Macroons,"[""Ice Cream"", ""Pizza"", ""Chips""]"
Entertainment: Video Games,multiple,hard,"In &quot;Team Fortress 2&quot;, how much health does a scout have when overhealed?",185,"[""215"", ""195"", ""225""]"
Politics,boolean,medium,"In France, a hunting license or a sport-shooting license is needed to purchase any firearm.",True,"[""False""]"
Politics,multiple,hard,Which letter do you need to have on a European driver license in order to ride any motorbikes?,A,"[""X"", ""D"", ""B""]"
Entertainment: Books,multiple,medium,"In The Lies of Locke Lamora, what title is Locke known by in the criminal world?",The Thorn of Camorr,"[""The Rose of the Marrows"", ""The Thorn of Emberlain"", ""The Thorn of the Marrows""]"
Entertainment: Film,multiple,easy,Which actor plays Obi-Wan Kenobi in Star Wars Episodes I-III?,Ewan McGregor,"[""Alec Guinness"", ""Hayden Christensen"", ""Liam Neeson""]"
Geography,multiple,hard,What is the second-largest city in Lithuania?,Kaunas,"[""Panevėžys"", ""Vilnius"", ""Klaipėda""]"
Entertainment: Video Games,multiple,medium,What is the name of the first level in &quot;Call of Duty: World at War&quot;?,Semper Fi,"[""Ring of Steel"", ""Vendetta"", ""Eviction""]"
Entertainment: Cartoon &amp; Animations,multiple,hard,In the 1968 Cartoon Show &quot;Wacky Races&quot; what was the name of cavemen duo who rode in The Boulder Mobile?,The Slag Brothers,"[""The Slate Brothers"", ""The Rock Brothers"", ""The Stone Brothers""]"
Entertainment: Television,boolean,easy,Klingons express emotion in art through opera and poetry.,True,"[""False""]"
Entertainment: Video Games,multiple,easy,What power does Max Caulfield from &quot;Life is Strange&quot; have?,Rewinding Time,"[""Invisibility"", ""Telepathy"", ""Super Strength""]"
Entertainment: Video Games,multiple,easy,What is the name of the world that the MMO &quot;RuneScape&quot; takes place in?,Gielinor,"[""Glindor"", ""Azeroth"", ""Zaros""]"
Entertainment: Books,multiple,easy,Which of the following is the world&#039;s best-selling book?,The Lord of the Rings,"[""The Little Prince"", ""Harry Potter and the Philosopher&#039;s Stone"", ""The Da Vinci Code""]"
History,multiple,medium,In what year did William the Conqueror take control of England?,1066,"[""1123"", ""1205"", ""901""]"
Science: Computers,multiple,hard,Which of the following physical typologies are used with Ethernet Networks?,Star,"[""Ring"", ""Mesh"", ""Hex""]"
Entertainment: Film,multiple,medium,Which actor plays the character &quot;Tommy Jarvis&quot; in &quot;Friday the 13th: The Final Chapter&quot; (1984)?,Corey Feldman,"[""Macaulay Culkin"", ""Mel Gibson"", ""Mark Hamill""]"
General Knowledge,boolean,easy,"&quot;27 Club&quot; is a term used to refer to a list of famous actors, musicians, and artists who died at the age of 27.",True,"[""False""]"
Geography,multiple,medium,The Gambia is a nation found on which continent?,Africa,"[""Asia"", ""South America"", ""Europe""]"
Entertainment: Video Games,multiple,medium,When was &quot;System Shock&quot; released?,1994,"[""1995"", ""2000"", ""1998""]"
